author,description
Абдуллаєв Мікаіл Гусейн,"Угорський пейзаж. 1958. Папір, акварель. 24х36"
Абегян Мегер Манукович,"Острів Севан. 1959. Папір, ліногравюра. 48х36"
Абегян Мегер Манукович,"Пастушка. 1960. Папір, ліногравюра. 49х32."
Абегян Мегер Манукович,"Ведуть полонених. 1964. Із серії «Захист Волгограду». Папір, ліногравюра. 53х81"
Абегян Мегер Манукович,"За Батьківщину. 1964. Папір, ліногравюра. 59х81"
Абегян Мегер Манукович,"Перемагають смерть. 1964. Папір, ліногравюра. 57х69"
Абрамович,"Етюд жіночої голови. 1941. Папір, акварель. 24,4х18,5"
Абрамович,"Пейзаж. 1941. Папір, кольорова літографія. 22,3х32"
Абрамович,"Натюрморт. 1941. Папір, акварель. 33х49,5"
Авдишев Олексій Іванович,"Кижі. Хмарний день. ХХ ст. Папір, ліногравюра. 35х82"
Авдишев Олексій Іванович,"Тягнуть човен. ХХ ст. Папір, ліногравюра. 31х55"
Авдишев Олексій Іванович,"Зимові дерева. ХХ ст. Папір, ліногравюра. 38х36"
Авдишев Олексій Іванович,"Осінь у Заонежжі. ХХ ст. Папір, кольорова ліногравюра. 26х73"
Авер’янов Борис Якович,"Механізатори. 1961. Папір, кольорова ліногравюра. 37х68"
Адамович Роман Сергійович,"Відьма. 1974. Ілюстрація до книги «Українські народні казки». Папір, цинкотипія, акварель. 25,5х17,5"
Адамович Роман Сергійович,"Старці. 1974. Ілюстрація до книги «Українські народні казки». Папір, цинкотипія, акварель. 10х16,5"
Адамович Роман Сергійович,"«Ох!» . 1974. Ілюстрація до книги «Українські народні казки». Папір, цинкотипія, акварель. 24,5х17"
Адамович Роман Сергійович,"Ранковий стрибок. 1973. Папір, кольоровий офорт. 35х32"
Адамович Роман Сергійович,"Метро. З серії «Київська осінь». 1976. Папір, кольорова цинкографія. 30х35"
Адамович Роман Сергійович,"Жокеї. 1973. Папір, офорт, кольоровий друк. 35х32"
Адамович Сергій Фадейович,"Рахіра виглядає Саву. 1960. «Ілюстрація до повісті О. Кобилянської “Земля». Папір, кольорова ліногравюра. 20,5х20,5"
Адамович Сергій Фадейович,"Рахіра. 1960. Ілюстрація до повісті О. Кобилянської «Земля». Папір, кольорова ліногравюра. 20,3х20,2"
Адамович Сергій Фадейович,"Весна. 1960. Ілюстрація до повісті О. Кобилянської «Земля». Папір, кольорова ліногравюра. 20,5х20,5"
Адамович Сергій Фадейович,"Оранка. 1960. Ілюстрація до повісті О. Кобилянської «Земля». Папір, кольорова ліногравюра. 20,5х20,5"
Адамович Сергій Фадейович,"Обморожені жовніри. 1960. Ілюстрація до повісті О. Кобилянської «Земля». Папір, кольорова ліногравюра. 20,5х20,5"
Адамович Сергій Фадейович,"Хата Федорчуків. 1960. Ілюстрація до повісті О. Кобилянської «Земля». Папір, кольорова ліногравюра. 20,5х20,5"
Адамович Сергій Фадейович,"Сходини. 1972. Ілюстрація до роману М. Стельмаха «Кров людська - не водиця». Папір, автошовкографія. 39,4х38,3"
Адамович Сергій Фадейович,"Сільрада. 1972. Ілюстрація до роману М. Стельмаха «Кров людська - не водиця». Папір, автошовкографія. 39х38,3"
Адамович Сергій Фадейович,"Комітет бідноти. 1972. Ілюстрація до роману М. Стельмаха «Кров людська - не водиця». Папір, кольорова автошовкографія. 39,4х39"
